Cliente,Destinazione,Prezzo,Giorno_Partenza,Durata,Incasso,Categoria
Marco Blu,Roma,615.61,16,7,554.049,Europa
Paolo Rosa,India,1297.99,30,6,1168.191,Asia
Paolo Rosa,Messico,363.09,25,10,326.781,America
Marco Blu,New York,911.27,3,10,820.143,America
Paolo Rosa,Sud America,1509.09,25,9,1358.181,America
Anna Verdi,New York,201.4,29,5,181.26000000000002,America
Marco Blu,Parigi,241.51,18,3,217.359,Europa
Sara Neri,Parigi,212.72,14,3,212.72,Europa
Marco Blu,Sud America,1559.65,18,14,1403.6850000000002,America
Giulia Viola,Sud America,633.85,2,13,633.85,America
Paolo Rosa,Messico,1300.98,22,5,1170.882,America
Anna Verdi,Sud America,1479.19,3,8,1331.2710000000002,America
Anna Verdi,Giappone,1499.6,16,9,1349.6399999999999,Asia
Elena Gialli,New York,800.68,29,8,800.68,America
Sara Neri,India,965.28,9,8,965.28,Asia
Luca Bianchi,Madagascar,1424.55,4,8,1424.55,Africa
Luca Bianchi,Sud America,910.79,1,5,910.79,America
Marco Blu,Roma,660.92,4,8,594.828,Europa
Elena Gialli,Parigi,272.78,1,10,272.78,Europa
Mario Rossi,Giappone,733.29,14,13,659.961,Asia
